Price,Open,High,Low,Close,Volume
Ticker,LYB,LYB,LYB,LYB,LYB
Date,,,,,
2010-04-28,9.082077784971757,9.082077784971757,8.857577297211803,8.980031967163086,5244400
2010-04-29,8.980036362357762,9.49026570112809,8.939217859546499,9.388219833374023,8773600
2010-04-30,9.367808321719211,9.388217178078456,9.082079661401986,9.10248851776123,1644400
2010-05-03,9.286171686395734,9.367808671981049,9.245353193603078,9.306580543518066,3302700
2010-05-04,9.306578870340715,9.306578870340715,8.775940895080566,8.775940895080566,2276500
2010-05-05,8.980034719488211,8.980034719488211,8.163667926807465,8.404496192932129,6999200
2010-05-06,8.36775875610278,8.388167612381407,7.5309831919116865,7.93916654586792,8029400
2010-05-07,7.9595766434705055,7.9799855029319655,7.306483019578693,7.592211723327637,3881500
2010-05-10,8.061619444069585,8.10243792607823,7.633027329348293,7.75956392288208,3861100
2010-05-11,7.653437117994139,7.869774554140012,7.653437117994139,7.714664459228516,2626900
2010-05-12,7.83711997597239,8.179994023580425,7.83711997597239,8.082029342651367,5714300
2010-05-13,8.102438514131737,8.204484337285669,8.000392690977804,8.020801544189453,2475900
2010-05-14,7.877937158063287,7.918755642630276,7.653436660766602,7.653436660766602,3133400
2010-05-17,7.7554846137679805,7.837121605332127,7.633029904969812,7.6942572593688965,10117000
2010-05-18,7.7758943913693495,7.88610410944153,7.449347943616382,7.669767379760742,6219800
2010-05-19,7.714663421411658,7.726909199430321,7.1636158673363015,7.224843978881836,6227700
2010-05-20,6.996261204126697,6.996261204126697,6.612569479613087,6.898297309875488,10248400
2010-05-21,6.673798776679199,6.988100182989238,6.632980280780171,6.755434989929199,4560800
2010-05-24,6.816661120606727,7.0003431303723085,6.808497268115503,6.898297309875488,1761300
2010-05-25,6.853398317081556,6.853398317081556,6.612570095977393,6.76359748840332,4649600
2010-05-26,6.935034058124955,7.102389146055123,6.857479014422634,7.000343322753906,2079300
2010-05-27,7.204436470499607,7.347300808598626,7.204436470499607,7.306482315063477,3156100
2010-05-28,7.306482419797034,7.306482419797034,6.6329799917308865,7.253418922424316,222200
2010-06-01,7.204437292247011,7.265664650259402,7.020755218209836,7.143209934234619,900800
2010-06-02,7.188109837706073,7.2085186960442975,7.028917784185366,7.073818206787109,829900
2010-06-03,7.122800556766105,7.14320941510433,7.000345071092635,7.073818206787109,2173600
2010-06-04,6.959525108337402,6.97993474091996,6.837070427033564,6.959525108337402,3147200
2010-06-07,7.0003433336250875,7.020752965445734,6.8329882454350255,6.8942155838012695,2826800
2010-06-08,6.95136158773453,6.95136158773453,6.735024167530573,6.837069988250732,2037700
2010-06-09,6.853399276733398,6.979935905669047,6.816662710502404,6.853399276733398,1410200
2010-06-10,6.926870346069336,6.967688831928269,6.877888785876905,6.926870346069336,1401000
2010-06-11,6.914624931557241,7.016670750824712,6.914624931557241,6.996261119842529,452500
2010-06-14,7.01667395733581,7.175865259005717,7.01667395733581,7.139128684997559,1008500
2010-06-15,7.135046508165298,7.347302088690123,7.0819830023081645,7.335056304931641,1974300
2010-06-16,7.318728614723868,7.335055546164779,7.196273125450755,7.200355052947998,1041500
2010-06-17,7.216683167973001,7.245255883509283,6.996263742039203,7.061573028564453,1090600
2010-06-18,7.073819375128451,7.081983231231334,7.000346227298848,7.024837017059326,1373700
2010-06-21,7.122798518678764,7.155453149805091,6.975852289336387,6.979934215545654,514100
2010-06-22,6.9758503606185025,6.979932285699179,6.857476868921676,6.873804569244385,1502900
2010-06-23,6.898299534589655,6.9187091723998595,6.775844821920733,6.796253681182861,1125700
2010-06-24,6.812580409518489,6.90646239426978,6.673798006604423,6.857480049133301,2151600
2010-06-25,6.898297657507242,6.906461510409874,6.816661464124519,6.86564302444458,612000
2010-06-28,6.8860535621643075,6.8860535621643075,6.8166623604632575,6.886053562164307,355800
2010-06-29,6.832987666091055,6.832987666091055,6.6329779624938965,6.6329779624938965,2561000
2010-06-30,6.641144485632812,6.7350264861641636,6.592162132263184,6.592162132263184,1534100
2010-07-01,6.628898264334816,6.653389050126194,6.286024149063357,6.347251892089844,4006100
2010-07-02,6.3594925524999,6.40439255255395,6.286019471253518,6.318674087524414,231700
2010-07-06,6.326840627791246,6.3635771840428905,6.0819305122962195,6.147240161895752,833700
2010-07-07,6.1431600061766405,6.183978111006399,6.0656049452342815,6.122750759124756,2137200
2010-07-08,6.102339478483264,6.183976050211606,6.102339478483264,6.143157958984375,2422200
2010-07-09,6.163566408097264,6.5390949791197475,6.1227479328354955,6.449294567108154,1478700
2010-07-12,6.457460403442383,6.5390973839893745,6.449296938952068,6.457460403442383,786100
2010-07-13,6.461540491062246,6.735023285936106,6.461540491062246,6.694204807281494,1647300
2010-07-14,6.694204807281494,6.7146144358826625,6.632977478573438,6.694204807281494,1537200
2010-07-15,6.706454232853135,6.706454232853135,6.530935224136756,6.6819634437561035,905900
2010-07-16,6.653387996133956,6.653387996133956,6.530933308027606,6.612570285797119,624700
2010-07-19,6.604406140286997,6.816661650264203,6.575833432895427,6.714615821838379,497300
2010-07-20,6.710533911559188,6.710533911559188,6.592160376595006,6.608488082885742,1244700
2010-07-21,6.608488334999862,6.653387971916538,6.608488334999862,6.628897190093994,1801200
2010-07-22,6.637062208224879,6.771762699708032,6.637062208224879,6.755434989929199,1126300
2010-07-23,6.755433368548454,6.853398046612704,6.743188367701322,6.849316120147705,1415100
2010-07-26,6.93911910533352,7.224847850501826,6.93911910533352,7.204438209533691,3400400
2010-07-27,7.314646924716471,7.486083992426548,7.041164001906303,7.441183567047119,5778800
2010-07-28,7.437098804727354,7.437098804727354,7.2738256545092606,7.318726062774658,2440000
2010-07-29,7.388122820230984,7.408531687442906,7.281994997922551,7.322813510894775,1598500
2010-07-30,7.314647790473524,7.375875155070793,7.216683851408257,7.347302436828613,2023100
2010-08-02,7.408528886367277,7.453429311515252,7.367710388828035,7.371792316436768,1543000
2010-08-03,7.38403737492546,7.396283156550408,7.224846106541186,7.306482315063477,1558700
2010-08-04,7.306481518108771,7.535063967005759,7.306481518108771,7.469754695892334,4194300
2010-08-05,7.469756558094577,7.469756558094577,7.428938837383815,7.445265769958496,252300
2010-08-06,7.437102519668062,7.449348304006788,7.314647790473524,7.347302436828613,500600
2010-08-09,7.347300303759813,7.408527650581553,7.343218376831969,7.367709159851074,1252900
2010-08-10,7.367710544702526,7.367710544702526,7.306483186372354,7.343219757080078,1056300
2010-08-11,7.2656622317209525,7.2656622317209525,7.184026041061564,7.188107967376709,2021000
2010-08-12,7.196273436899199,7.196273436899199,7.102391436043659,7.143209934234619,3260500
2010-08-13,7.147289457893382,7.359544954255038,7.147289457893382,7.355463027954102,2973700
2010-08-16,7.694258253730211,7.8779403406654716,7.612621251615772,7.633030891418457,10729700
2010-08-17,7.735075095589741,7.837120937069563,7.735075095589741,7.784056663513184,4572800
2010-08-18,7.796301488676598,8.184075171616904,7.796301488676598,8.082029342651367,3564800
2010-08-19,8.118765903362792,8.200402877954376,7.755483001380805,8.082029342651367,5313000
2010-08-20,8.08203021996873,8.171831057477078,8.065703290406834,8.118766784667969,3292700
2010-08-23,8.12284875955002,8.265713092161167,8.12284875955002,8.18815803527832,2222900
2010-08-24,8.082029000684448,8.184074825332221,8.041211293663626,8.159584045410156,5178500
2010-08-25,8.139179432200342,8.184079089024372,8.110606710980978,8.13509750366211,3994300
2010-08-26,8.143258821055133,8.367759370803833,8.143258821055133,8.163667678833008,2807100
2010-08-27,8.220813854643596,8.343269348144531,8.155504569529,8.343269348144531,1984200
2010-08-30,8.326939729696681,8.490212905073497,8.253466606140137,8.253466606140137,1728000
2010-08-31,8.253468072249856,8.37184163201785,8.253468072249856,8.367759704589844,2316300
2010-09-01,8.367759629433564,8.694306035260535,8.36367770204222,8.580015182495117,5464700
2010-09-02,8.592262736256028,8.592262736256028,8.473889920966887,8.551445007324219,1548700
2010-09-03,8.56777158935134,8.694308256620381,8.56777158935134,8.624917030334473,1072600
2010-09-07,8.620830090212209,8.620830090212209,8.490210803691955,8.555520057678223,1540000
2010-09-08,8.551442120247257,8.624914474648266,8.551442120247257,8.567769050598145,2135400
2010-09-09,8.5718498664211,8.633077209757383,8.437149399662115,8.449395179748535,2958400
2010-09-10,8.453478154818344,8.49837857962429,8.445315078211145,8.486133575439453,806500
2010-09-13,8.48205356167991,8.739208828708842,8.48205356167991,8.72696304321289,3431400
2010-09-14,8.731044077433523,8.804517225787226,8.698389431337231,8.78002643585205,2403900
