Price,Open,High,Low,Close,Volume
Ticker,NRG,NRG,NRG,NRG,NRG
Date,,,,,
2010-01-04,17.809661444889944,18.071787355333054,17.749746747005936,17.877065658569336,1683700
2010-01-05,17.944463172709295,18.18412332232591,17.832123325735708,18.154165267944336,3473400
2010-01-06,18.161663001610737,18.566088347935224,18.056812620776668,18.551109313964844,2719300
2010-01-07,18.566084937953285,18.903104569511584,18.521147844295612,18.655956268310547,3200800
2010-01-08,18.581065331463645,18.73085280919503,18.33391699314234,18.348896026611328,1694600
2010-01-11,18.49119204632687,18.723361326805104,18.49119204632687,18.521148681640625,2128700
2010-01-12,18.42379374491848,18.42379374491848,17.97443264314397,18.004390716552734,3446100
2010-01-13,18.071789199225353,18.23655570657706,18.041832561466364,18.199108123779297,2704100
2010-01-14,18.16165878586668,18.22906299460801,17.974425190136095,18.011871337890625,2016600
2010-01-15,18.438770509025375,18.82072589855377,18.20659975416143,18.274003982543945,4573900
2010-01-19,18.199106425407887,18.83570098876953,18.199106425407887,18.83570098876953,3141600
2010-01-20,18.75332370988851,18.760811799082283,18.348898326411753,18.47621726989746,3770000
2010-01-21,18.446256287992128,18.603533277349015,17.966938660388678,17.974428176879883,4069800
2010-01-22,18.835701209070113,19.127786617134067,18.41629831532383,18.521148681640625,16160300
2010-01-25,18.65595819340636,18.790766631332087,18.573574941678594,18.67842674255371,5075600
2010-01-26,18.670939758487112,18.753323021388415,18.521152267480996,18.663450241088867,3794800
2010-01-27,18.888126392285226,19.247616015405082,18.453744466641208,18.715871810913086,11804700
2010-01-28,18.805743921492752,18.910594284172888,18.356382979539365,18.51365852355957,52002800
2010-01-29,18.37885436837965,18.491194264118448,18.011875185298013,18.056812286376953,8070400
2010-02-01,18.08676785005759,18.146682552788413,17.64489638173807,17.899534225463867,6514500
2010-02-02,17.89204580337816,17.89204580337816,17.517578531287505,17.6448974609375,6373100
2010-02-03,17.540040080921994,17.637400904274017,17.262933781648425,17.307870864868164,3993600
2010-02-04,17.22549339699217,17.22549339699217,16.51400505485517,16.55145263671875,5576400
2010-02-05,16.543959012011733,16.573915641584332,16.012214909429506,16.259363174438477,5825600
2010-02-08,16.3417569174631,16.48405492778316,16.147033700309272,16.16950225830078,3785300
2010-02-09,16.371703647169127,16.6787665844884,16.28183090597577,16.3941707611084,4363100
2010-02-10,16.401664109353245,16.409153625243363,15.982261218860383,16.221920013427734,3560600
2010-02-11,16.439115640570932,16.686264010439917,16.236902948365554,16.641326904296875,4536200
2010-02-12,16.514004395669406,16.528983427816925,16.214430895114692,16.521493911743164,4044000
2010-02-16,16.573921382365832,16.843538284301758,16.551454259524057,16.843538284301758,2689900
2010-02-17,16.888474166919863,17.045751171150204,16.783623783085865,16.918432235717773,3466400
2010-02-18,16.78362251040919,16.963366624128902,16.6862616511574,16.903451919555664,4348400
2010-02-19,16.91842989367867,17.562513998878952,16.80609000819654,17.375280380249023,5192300
2010-02-22,17.540047146411027,17.614940886800614,17.262940735513336,17.27791976928711,3992000
