Price,Open,High,Low,Close,Volume
Ticker,SBAC,SBAC,SBAC,SBAC,SBAC
Date,,,,,
2010-01-04,31.727878193671533,33.07643121273992,31.580091995849077,32.48528289794922,1885400
2010-01-05,32.7346694922176,33.27963170281902,32.494518266096875,33.26115798950195,1851100
2010-01-06,33.20574130421475,33.270397540887295,32.59612284165881,33.196502685546875,2036000
2010-01-07,32.97482364048059,33.88001443550548,32.81779884189948,33.667572021484375,3020800
2010-01-08,33.72299900320338,33.87078522459054,33.34429659067992,33.70452880859375,1032800
2010-01-11,33.907712482261815,34.17557595021415,33.704508750969836,33.9354248046875,1193000
2010-01-12,33.519785148436995,33.68604503832208,32.45756957678231,32.6330680847168,1115600
2010-01-13,32.873224130129344,33.58444631388443,32.72543793113484,33.51055145263672,1149000
2010-01-14,33.33505051830797,34.09245509399076,33.33505051830797,33.63062286376953,1356300
2010-01-15,33.759945407628976,34.28643402544867,33.62139781128247,33.85231399536133,1511900
2010-01-19,33.98162172520631,34.17559044696781,33.74146695431038,33.91696548461914,949500
2010-01-20,33.78765126738248,33.861542599899366,33.36276289228285,33.53826141357422,1161500
2010-01-21,33.732234119635436,34.08322768027899,33.196506920574166,33.372005462646484,2047400
2010-01-22,33.41818916976648,33.93544267087523,31.783302225897163,31.866432189941406,1692900
2010-01-25,32.439107304530765,32.845522078025375,31.607811085431294,32.04193115234375,2270800
2010-01-26,32.106582648325826,32.125056364701,31.0536054794485,31.635515213012695,1852200
2010-01-27,31.64473883506698,32.06038849404112,31.007411706973194,31.931076049804688,1674000
2010-01-28,31.857195889075864,31.921852133832818,30.813453829640505,31.118261337280273,1469900
2010-01-29,31.38611914125078,31.61703526517714,30.25001223435314,30.564058303833008,1883100
2010-02-01,30.674893679552838,31.5523755585658,30.29619141894725,31.460010528564453,1451900
2010-02-02,31.663214299267427,31.663214299267427,30.785735943754503,31.460010528564453,1042900
2010-02-03,31.367644477243104,31.580086881992653,30.517874858244916,30.628713607788086,1448800
