Price,Open,High,Low,Close,Volume
Ticker,TDG,TDG,TDG,TDG,TDG
Date,,,,,
2010-01-04,20.678086964251666,21.21049690246582,20.609389066213105,21.21049690246582,791400
2010-01-05,21.210500917487114,21.536815585467924,21.154683352925137,21.41230010986328,235700
2010-01-06,21.32213091836343,21.64844553292765,21.32213091836343,21.56257438659668,337100
2010-01-07,21.562573153164216,21.901768092697868,21.433763165261755,21.841657638549805,346100
2010-01-08,21.89747535998471,22.275314609118308,21.820190021800858,22.090688705444336,238600
2010-01-11,22.279606132115077,22.279606132115077,21.833069014220822,22.094980239868164,193400
2010-01-12,21.983351131031014,21.983351131031014,21.515346136301375,21.588336944580078,270900
2010-01-13,21.669916712315146,21.803017982639506,21.502465670366913,21.66132926940918,378500
2010-01-14,21.532520150054676,21.824486647118192,21.468115149451442,21.794429779052734,340500
2010-01-15,21.717146057774805,21.768669075492816,21.558280826489536,21.63127326965332,336000
2010-01-19,21.721439481659484,21.76866959815465,21.592631115328192,21.648447036743164,325800
2010-01-20,21.837366451501843,21.93611958219823,21.472407520263374,21.790136337280273,455000
2010-01-21,21.824489063629557,21.953297441211102,21.300666471858904,21.498172760009766,355700
2010-01-22,21.3779476084144,21.442350965555597,20.93999790072861,21.060218811035156,446000
2010-01-25,21.210495955447776,21.34789174539037,20.888474265665998,20.93140983581543,345300
2010-01-26,20.93141118454836,21.07310152336804,20.82836351650794,20.939998626708984,233000
2010-01-27,20.97434987104978,21.043047780645708,20.630860323070166,21.034461975097656,338300
2010-01-28,21.02158013783094,21.11174583770149,20.785431174313477,20.948589324951172,244200
2010-01-29,21.04734064132262,21.111744005116524,20.712438563510073,20.725318908691406,317800
2010-02-01,20.824075473362285,20.84125036169105,20.609394282915254,20.79831314086914,230900
2010-02-02,20.77683762539551,21.27060483501557,20.716727176479026,21.257722854614258,285600
2010-02-03,21.236257978261882,21.377948316864742,21.043044624661217,21.31354331970215,253200
2010-02-04,21.219081322492496,21.274898872847675,20.47628483656193,20.480579376220703,177900
2010-02-05,20.536397812917677,20.587920825837795,19.982520100893485,20.43764305114746,209700
2010-02-08,20.51063856565498,20.635154033628428,20.330305536540447,20.394710540771484,201000
